run_id,trace_path,gpu_index,label,family,gpu_uuid,collection_day
20260824_calib-idle_node2-gpu4_s0_r01,data/runs/20260824_calib-idle_node2-gpu4_s0_r01/nvml.csv,4,non_ml,calib_idle,,2026-08-24
20260824_calib-idle_verifier-gpu0_s0_r01,data/runs/20260824_calib-idle_verifier-gpu0_s0_r01/nvml.csv,0,non_ml,calib_idle,,2026-08-24
20260824_calib-idle_verifier-gpu1_s0_r02,data/runs/20260824_calib-idle_verifier-gpu1_s0_r02/nvml.csv,1,non_ml,calib_idle,,2026-08-24
20260824_calib-memcpy_node2-gpu0_s0_r01,data/runs/20260824_calib-memcpy_node2-gpu0_s0_r01/nvml.csv,0,non_ml,calib_memcpy,,2026-08-24
20260824_calib-memcpy_node2-gpu1_s0_r02,data/runs/20260824_calib-memcpy_node2-gpu1_s0_r02/nvml.csv,1,non_ml,calib_memcpy,,2026-08-24
20260824_calib-memcpy_node2-gpu3_s0_r02,data/runs/20260824_calib-memcpy_node2-gpu3_s0_r02/nvml.csv,3,non_ml,calib_memcpy,,2026-08-25
20260824_calib-memcpy_verifier-gpu0_s0_r01,data/runs/20260824_calib-memcpy_verifier-gpu0_s0_r01/nvml.csv,0,non_ml,calib_memcpy,,2026-08-24
20260824_calib-memcpy_verifier-gpu1_s0_r01,data/runs/20260824_calib-memcpy_verifier-gpu1_s0_r01/nvml.csv,1,non_ml,calib_memcpy,,2026-08-24
20260824_hpc_fft_verifier-gpu0_s0_r01,data/runs/20260824_hpc_fft_verifier-gpu0_s0_r01/nvml.csv,0,non_ml,hpc_fft,,2026-08-25
20260824_hpc_fft_verifier-gpu1_s1_r02,data/runs/20260824_hpc_fft_verifier-gpu1_s1_r02/nvml.csv,1,non_ml,hpc_fft,,2026-08-25
20260824_hpc_gemm_verifier-gpu0_s0_r01,data/runs/20260824_hpc_gemm_verifier-gpu0_s0_r01/nvml.csv,0,non_ml,hpc_gemm,,2026-08-25
20260824_hpc_gemm_verifier-gpu1_s1_r02,data/runs/20260824_hpc_gemm_verifier-gpu1_s1_r02/nvml.csv,1,non_ml,hpc_gemm,,2026-08-25
20260824_hpc_memcpy_verifier-gpu0_s0_r01,data/runs/20260824_hpc_memcpy_verifier-gpu0_s0_r01/nvml.csv,0,non_ml,hpc_memcpy,,2026-08-25
20260824_hpc_memcpy_verifier-gpu1_s1_r02,data/runs/20260824_hpc_memcpy_verifier-gpu1_s1_r02/nvml.csv,1,non_ml,hpc_memcpy,,2026-08-25
20260824_idle_verifier-gpu0_s0_r01,data/runs/20260824_idle_verifier-gpu0_s0_r01/nvml.csv,0,non_ml,idle,,2026-08-25
20260824_idle_verifier-gpu1_s1_r02,data/runs/20260824_idle_verifier-gpu1_s1_r02/nvml.csv,1,non_ml,idle,,2026-08-25
20260824_infer_gpt2_verifier-gpu0_s0_r01,data/runs/20260824_infer_gpt2_verifier-gpu0_s0_r01/nvml.csv,0,inference,infer_gpt2,,2026-08-25
20260824_infer_gpt2_verifier-gpu1_s1_r02,data/runs/20260824_infer_gpt2_verifier-gpu1_s1_r02/nvml.csv,1,inference,infer_gpt2,,2026-08-25
20260824_infer_resnet_verifier-gpu0_s0_r01,data/runs/20260824_infer_resnet_verifier-gpu0_s0_r01/nvml.csv,0,inference,infer_resnet,,2026-08-25
20260824_infer_resnet_verifier-gpu1_s1_r02,data/runs/20260824_infer_resnet_verifier-gpu1_s1_r02/nvml.csv,1,inference,infer_resnet,,2026-08-25
20260824_train_gpt2_wikitext_verifier-gpu0_s0_r01,data/runs/20260824_train_gpt2_wikitext_verifier-gpu0_s0_r01/nvml.csv,0,training,train_gpt2_wikitext,,2026-08-25
20260824_train_gpt2_wikitext_verifier-gpu1_s1_r02,data/runs/20260824_train_gpt2_wikitext_verifier-gpu1_s1_r02/nvml.csv,1,training,train_gpt2_wikitext,,2026-08-25
20260824_train_resnet_cifar10_verifier-gpu0_s0_r01,data/runs/20260824_train_resnet_cifar10_verifier-gpu0_s0_r01/nvml.csv,0,training,train_resnet_cifar10,,2026-08-25
20260824_train_resnet_cifar10_verifier-gpu1_s1_r02,data/runs/20260824_train_resnet_cifar10_verifier-gpu1_s1_r02/nvml.csv,1,training,train_resnet_cifar10,,2026-08-25
20260825_hpc_fft_node2-gpu0_s0_r01,data/runs/20260825_hpc_fft_node2-gpu0_s0_r01/nvml.csv,0,non_ml,hpc_fft,,2026-08-25
20260825_hpc_fft_node2-gpu1_s1_r02,data/runs/20260825_hpc_fft_node2-gpu1_s1_r02/nvml.csv,1,non_ml,hpc_fft,,2026-08-25
20260825_hpc_fft_node2-gpu2_s2_r03,data/runs/20260825_hpc_fft_node2-gpu2_s2_r03/nvml.csv,2,non_ml,hpc_fft,,2026-08-25
20260825_hpc_gemm_node2-gpu0_s0_r01,data/runs/20260825_hpc_gemm_node2-gpu0_s0_r01/nvml.csv,0,non_ml,hpc_gemm,,2026-08-25
20260825_hpc_gemm_node2-gpu1_s1_r02,data/runs/20260825_hpc_gemm_node2-gpu1_s1_r02/nvml.csv,1,non_ml,hpc_gemm,,2026-08-25
20260825_hpc_gemm_node2-gpu2_s2_r03,data/runs/20260825_hpc_gemm_node2-gpu2_s2_r03/nvml.csv,2,non_ml,hpc_gemm,,2026-08-25
20260825_hpc_memcpy_node2-gpu0_s0_r01,data/runs/20260825_hpc_memcpy_node2-gpu0_s0_r01/nvml.csv,0,non_ml,hpc_memcpy,,2026-08-25
20260825_hpc_memcpy_node2-gpu1_s1_r02,data/runs/20260825_hpc_memcpy_node2-gpu1_s1_r02/nvml.csv,1,non_ml,hpc_memcpy,,2026-08-25
20260825_hpc_memcpy_node2-gpu2_s2_r03,data/runs/20260825_hpc_memcpy_node2-gpu2_s2_r03/nvml.csv,2,non_ml,hpc_memcpy,,2026-08-25
20260825_idle_node2-gpu0_s0_r01,data/runs/20260825_idle_node2-gpu0_s0_r01/nvml.csv,0,non_ml,idle,,2026-08-25
20260825_idle_node2-gpu1_s1_r02,data/runs/20260825_idle_node2-gpu1_s1_r02/nvml.csv,1,non_ml,idle,,2026-08-25
20260825_idle_node2-gpu2_s2_r03,data/runs/20260825_idle_node2-gpu2_s2_r03/nvml.csv,2,non_ml,idle,,2026-08-25
20260825_infer_gpt2_node2-gpu0_s0_r01,data/runs/20260825_infer_gpt2_node2-gpu0_s0_r01/nvml.csv,0,inference,infer_gpt2,,2026-08-25
20260825_infer_gpt2_node2-gpu1_s1_r02,data/runs/20260825_infer_gpt2_node2-gpu1_s1_r02/nvml.csv,1,inference,infer_gpt2,,2026-08-25
20260825_infer_gpt2_node2-gpu2_s2_r03,data/runs/20260825_infer_gpt2_node2-gpu2_s2_r03/nvml.csv,2,inference,infer_gpt2,,2026-08-25
20260825_infer_resnet_node2-gpu0_s0_r01,data/runs/20260825_infer_resnet_node2-gpu0_s0_r01/nvml.csv,0,inference,infer_resnet,,2026-08-25
20260825_infer_resnet_node2-gpu1_s1_r02,data/runs/20260825_infer_resnet_node2-gpu1_s1_r02/nvml.csv,1,inference,infer_resnet,,2026-08-25
20260825_infer_resnet_node2-gpu2_s2_r03,data/runs/20260825_infer_resnet_node2-gpu2_s2_r03/nvml.csv,2,inference,infer_resnet,,2026-08-25
20260825_train_gpt2_wikitext_node2-gpu0_s0_r01,data/runs/20260825_train_gpt2_wikitext_node2-gpu0_s0_r01/nvml.csv,0,training,train_gpt2_wikitext,,2026-08-25
20260825_train_gpt2_wikitext_node2-gpu1_s1_r02,data/runs/20260825_train_gpt2_wikitext_node2-gpu1_s1_r02/nvml.csv,1,training,train_gpt2_wikitext,,2026-08-25
20260825_train_gpt2_wikitext_node2-gpu2_s2_r03,data/runs/20260825_train_gpt2_wikitext_node2-gpu2_s2_r03/nvml.csv,2,training,train_gpt2_wikitext,,2026-08-25
20260825_train_resnet_cifar10_node2-gpu0_s0_r01,data/runs/20260825_train_resnet_cifar10_node2-gpu0_s0_r01/nvml.csv,0,training,train_resnet_cifar10,,2026-08-25
20260825_train_resnet_cifar10_node2-gpu1_s1_r02,data/runs/20260825_train_resnet_cifar10_node2-gpu1_s1_r02/nvml.csv,1,training,train_resnet_cifar10,,2026-08-25
20260825_train_resnet_cifar10_node2-gpu2_s2_r03,data/runs/20260825_train_resnet_cifar10_node2-gpu2_s2_r03/nvml.csv,2,training,train_resnet_cifar10,,2026-08-25
